CNES,local,CNES2
10626,São Sebastião,0010626
10634,Paranoa,0010634
10642,Paranoa,0010642
10650,Planaltina,0010650
10669,Santa Maria,0010669
10677,Samambaia,0010677
10685,Samambaia,0010685
10707,Asa Norte,0010707
10723,Asa Norte,0010723
10731,Cruzeiro,0010731
10758,Cruzeiro,0010758
10774,Samambaia,0010774
10782,Santa Maria,0010782
10790,São Sebastião,0010790
10804,Recanto das emas,0010804
10820,Gama,0010820
10839,Gama,0010839
10847,Gama,0010847
10855,Gama,0010855
10863,Gama,0010863
10871,Gama,0010871
10898,Gama,0010898
10901,Taguatinga,0010901
10928,Taguatinga,0010928
10936,Taguatinga,0010936
10952,Taguatinga,0010952
10960,Taguatinga,0010960
10987,Ceilandia,0010987
10995,Ceilandia,0010995
11002,Ceilandia,0011002
11010,Ceilandia,0011010
11029,Ceilandia,0011029
11037,Ceilandia,0011037
11045,Ceilandia,0011045
11053,Ceilandia,0011053
11061,Ceilandia,0011061
11096,Planaltina,0011096
11118,local,0011118
11126,Nucleo Bandeirante,0011126
11134,Recanto das emas,0011134
11150,Asa Sul,0011150
11169,Riacho Fundo I,0011169
11177,Lago Norte,0011177
11185,Candangolandia,0011185
11207,Ceilandia,0011207
11215,Brazlandia,0011215
11223,Sobradinho,0011223
11231,Sobradinho,0011231
11258,Sobradinho II,0011258
11266,Guara,0011266
11274,Guara,0011274
11355,Vila Planalto,0011355
11363,São Sebastião,0011363
11495,Brazlandia,0011495
11509,Brazlandia,0011509
11517,Fercal,0011517
11568,Sobradinho,0011568
11576,Planaltina,0011576
11584,Planaltina,0011584
11592,Planaltina,0011592
11606,Paranoa,0011606
11614,Quebrada de neves,0011614
11622,Planaltina,0011622
11630,Paranoa,0011630
11657,Guara,0011657
11681,Park Way,0011681
161616,Fercal,0161616
263680,DCCP,0263680
736260,Jardins Mangueiral,0736260
957755,Sobradinho II,0957755
2360233,Planaltina,2360233
2617269,Taguatinga,2617269
2617293,Ceilandia,2617293
2617358,Varjao,2617358
2660199,Riacho Fundo II,2660199
2672197,Samambaia,2672197
2672227,Planaltina,2672227
2672235,Planaltina,2672235
2673894,Santa Maria,2673894
2673924,Riacho Fundo II,2673924
2779331,Gama,2779331
2779374,Estrutural,2779374
2779404,Engenho das Lages,2779404
2804107,Paranoa,2804107
2804123,Planaltina,2804123
2804174,Planaltina,2804174
2804247,Recanto das emas,2804247
2804360,Fercal,2804360
2804387,Sobradinho,2804387
3027635,Gama,3027635
3027651,SIA,3027651
3144542,Ceilandia,3144542
3144550,Santa Maria,3144550
3144569,Santa Maria,3144569
3144577,Gama,3144577
3144593,Santa Maria,3144593
3144607,Santa Maria,3144607
3144615,Gama,3144615
3144623,Recanto das emas,3144623
3144631,Brazlandia,3144631
3144658,Brazlandia,3144658
3144666,Planaltina,3144666
3212017,São Sebastião,3212017
3212025,São Sebastião,3212025
3212033,São Sebastião,3212033
3212068,São Sebastião,3212068
3212076,São Sebastião,3212076
3254887,São Sebastião,3254887
3254909,São Sebastião,3254909
3286932,São Sebastião,3286932
3286959,Itapoa,3286959
3286975,Paranoa,3286975
3410196,Riacho Fundo II,3410196
3513564,Estrutural,3513564
3633845,Samambaia,3633845
3677044,Ceilandia,3677044
3742822,Aguas Claras,3742822
3742857,Samambaia,3742857
3742865,Brazlandia,3742865
3742873,São Sebastião,3742873
3781402,São Sebastião,3781402
3781437,Riacho Fundo I,3781437
5038669,Riacho Fundo II,5038669
5050340,Planaltina,5050340
5050359,Planaltina,5050359
5117666,Granja do torto,5117666
5167817,Planaltina,5167817
6216013,Planaltina,6216013
6216021,Planaltina,6216021
6268269,Itapoa,6268269
6662358,Brazlandia,6662358
6770657,Sobradinho,6770657
6770665,Sobradinho II,6770665
6770681,Sobradinho II,6770681
6921736,Samambaia,6921736
7041594,Sobradinho II,7041594
7053754,Samambaia,7053754
7059892,Recanto das emas,7059892
7059957,Recanto das emas,7059957
7059965,Recanto das emas,7059965
7075596,Paranoa,7075596
7108923,Aguas Claras,7108923
7114397,Samambaia,7114397
7153368,Asa Norte,7153368
7170939,Recanto das emas,7170939
7236778,Nucleo Bandeirante,7236778
7299877,Samambaia,7299877
7347715,Ceilandia,7347715
7347723,Ceilandia,7347723
7360568,Gama,7360568
7360592,Gama,7360592
7368895,Sobradinho,7368895
7417632,Recanto das emas,7417632
7423489,São Sebastião,7423489
7493576,Santa Maria,7493576
7526504,Riacho Fundo II,7526504
7559194,Santa Maria,7559194
7686730,Sobradinho II,7686730
7687079,Sobradinho,7687079
7694733,Estrutural,7694733
7740581,Santa Maria,7740581
7740697,NA,7740697
7771479,Samambaia,7771479
7843135,Gama,7843135
7975295,São Sebastião,7975295
9056963,Vicente Pires,9056963
9263632,Guara,9263632
9475931,Ceilandia,9475931
9480587,Samambaia,9480587
9509356,Ceilandia,9509356
9543945,Recanto das emas,9543945
9548203,Brazlandia,9548203
9566961,Planaltina,9566961
9566988,Planaltina,9566988
9571280,Planaltina,9571280
9572481,Itapoa,9572481
9572511,Paranoa,9572511
9643338,Ceilandia,9643338
9647597,Samambaia,9647597
9768637,Planaltina,9768637